glat,glon,risk,count,fatals,fatal_ratio,route_risk
43.660000000000004,-79.33500000000001,0.21567282397496096,5,0,0.0,0.20342725126404002
43.660000000000004,-79.33,0.1333538339041363,13,0,0.0,0.15538731753124643
43.660000000000004,-79.315,0.12828842461163242,2,0,0.0,0.11809378443122442
43.665,-79.59,0.15607847508346231,11,0,0.0,0.16927183695863174
43.665,-79.58500000000001,0.1498951187759954,5,0,0.0,0.14594063632511664
43.665,-79.58,0.14831709311662306,2,0,0.0,0.13559789696605706
43.665,-79.575,0.18441025174764594,3,0,0.0,0.17012949001827923
43.665,-79.545,0.10222170798747071,2,0,0.0,0.09531270234934627
43.665,-79.535,0.1729270243103025,5,0,0.0,0.166069436512892
43.665,-79.53,0.10800151052619392,4,0,0.0,0.10633972361969692
43.665,-79.52,0.2512332511521324,7,3,0.42857142857142855,0.4652118759534363
43.665,-79.5,0.18231889486514233,10,5,0.5,0.45140271850397
43.665,-79.49,0.2504677895473037,26,6,0.23076923076923078,0.41759060706840856
43.665,-79.485,0.21473120296711423,6,0,0.0,0.20559219196790607
43.665,-79.48,0.12062994703321682,13,0,0.0,0.1442672399477786
43.665,-79.47500000000001,0.28563164305610916,2,0,0.0,0.2556043434361133
43.665,-79.47,0.2308349721871871,15,2,0.13333333333333333,0.3164732157809081
43.665,-79.465,0.22071299475211853,37,3,0.08108108108108109,0.345960688733978
43.665,-79.46000000000001,0.16923147782908116,8,0,0.0,0.17180332230854528
43.665,-79.455,0.15660713326412662,5,0,0.0,0.15180662072175294
43.665,-79.45,0.14942108583734187,10,0,0.0,0.1604657193534832
43.665,-79.44500000000001,0.1810277499225944,18,2,0.1111111111111111,0.27025496462079335
43.665,-79.44,0.19253581969721825,11,0,0.0,0.20113383830342144
43.665,-79.435,0.2108775893981947,15,2,0.13333333333333333,0.29903140360291885
43.665,-79.43,0.2301736489361382,3,0,0.0,0.21012454281792048
43.665,-79.425,0.2165976584391167,12,2,0.16666666666666666,0.31254591274250054
43.665,-79.42,0.21729060121698301,20,0,0.0,0.2496592087867282
43.665,-79.415,0.2141827077133722,18,0,0.0,0.24096731011435704
43.665,-79.41,0.24701158393421732,34,4,0.11764705882352941,0.3791549621657597
43.665,-79.405,0.22557120798835933,20,0,0.0,0.256896068927818
43.665,-79.4,0.20886509031769662,22,4,0.18181818181818182,0.3436117697068627
43.665,-79.395,0.24888794440179743,7,0,0.0,0.23843144763331348
43.665,-79.39,0.2667874375343372,9,0,0.0,0.26005050741030056
43.665,-79.385,0.3993017082643801,30,3,0.1,0.49104424389300383
43.665,-79.38,0.33649917478551067,26,3,0.11538461538461539,0.4322735538242263
43.665,-79.375,0.3014516463282599,27,2,0.07407407407407407,0.38296945851979086
43.665,-79.37,0.3393130398688943,21,2,0.09523809523809523,0.40922910824904407
43.665,-79.365,0.2673752797831368,4,0,0.0,0.24562488835637708
43.665,-79.36,0.20662942957879193,11,0,0.0,0.21345098925769604
43.665,-79.355,0.21764146635511578,45,3,0.06666666666666667,0.3596207910125807
43.665,-79.35000000000001,0.2156883937895487,10,2,0.2,0.3232545697028379
43.665,-79.345,0.12170548356716841,6,0,0.0,0.12429209652697966
43.665,-79.34,0.22105254491142137,21,4,0.19047619047619047,0.35581517262453627
43.665,-79.33500000000001,0.2390246789876571,7,2,0.2857142857142857,0.3796319122321756
43.665,-79.33,0.18525529532246512,19,2,0.10526315789473684,0.2738710118615722
43.665,-79.325,0.11342164723327401,17,2,0.11764705882352941,0.2116098095306348
43.665,-79.32000000000001,0.09178673043224606,5,0,0.0,0.09515664294416366
43.665,-79.315,0.17527265453338114,31,3,0.0967741935483871,0.29654975843490217
43.665,-79.31,0.2179448136350926,5,0,0.0,0.20541286317224106
43.665,-79.305,0.3205549764351329,5,3,0.6,0.609712347553414
43.67,-79.595,0.06831474167686025,4,0,0.0,0.07165535766149406
43.67,-79.59,0.1412150550807284,8,0,0.0,0.1473182889430764
43.67,-79.575,0.034174021916082924,1,0,0.0,0.03285435799190514
43.67,-79.555,0.540807644230811,1,1,1.0,1.0
43.67,-79.545,0.030887461905667074,2,0,0.0,0.0329699324996079
43.67,-79.53,0.0945142222862722,2,0,0.0,0.08857672301847985
43.67,-79.52,0.24504781346955098,5,0,0.0,0.22909960795089163
43.67,-79.515,0.059229921097718116,4,0,0.0,0.0637156525464764
43.67,-79.5,0.05872457374001469,3,0,0.0,0.06028612967137807
43.67,-79.495,0.30882756287136576,17,5,0.29411764705882354,0.47492155975118977
